2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,129 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
2014-02-20 00:12:16,130 [16] INFO  Umbraco.Core.ApplicationContext - [Thread 13] CurrentVersion different from configStatus: '7.0.4',''
